Timestamp,Answer
2025-12-29T21:26:05.560Z,i am practicing this site
2025-12-29T21:34:57.218Z,nick test 
2025-12-29T21:43:39.088Z,Hi this is from my phone
2025-12-29T21:45:19.752Z,nick test
2025-12-29T21:53:28.268Z,Sun
2025-12-29T21:54:12.682Z,my morning coffee
2025-12-29T21:54:40.729Z,⚾️
2025-12-29T21:55:57.267Z,family
2025-12-29T21:56:06.543Z,the love of my life
2025-12-29T21:56:51.966Z,My energy
2025-12-29T21:57:39.189Z,music 
2025-12-29T21:58:08.802Z,my friends
2025-12-29T21:59:18.894Z,Chipotle
2025-12-29T22:01:04.589Z,the audience 
2025-12-29T22:01:31.451Z,tomorrow
2025-12-29T22:02:26.148Z,holiday
2025-12-29T22:05:15.405Z,I'm gonna miss today
2025-12-29T22:08:19.130Z,holiday
2025-12-29T22:08:33.970Z,My pets and loved ones
2025-12-29T22:08:47.950Z,my girlfriend 
2025-12-29T22:09:25.527Z,my dog
2025-12-29T22:10:46.303Z,my missus
2025-12-29T22:11:17.547Z,everything 
2025-12-29T22:11:23.930Z,Tomorrow 
2025-12-29T22:11:27.661Z,my mom
2025-12-29T22:11:32.545Z,Today
2025-12-29T22:11:39.916Z,the opportunity
2025-12-29T22:11:44.946Z,My swag
2025-12-29T22:11:52.803Z,music
2025-12-29T22:12:01.871Z,Music
2025-12-29T22:12:31.257Z,Today
2025-12-29T22:12:48.644Z,Life 
2025-12-29T22:13:30.290Z,Opportunity 
2025-12-29T22:13:45.123Z,The love of my life
2025-12-29T22:13:40.505Z,nick holiday 
2025-12-29T22:14:20.142Z,Tomorrow i will miss the food i had today
2025-12-29T22:14:21.119Z,holiday
2025-12-29T22:15:22.804Z,The opportunity to have gone harder today
2025-12-29T22:16:21.165Z,No
2025-12-29T22:16:28.037Z,Maybe
2025-12-29T22:16:34.187Z,Ion know
2025-12-29T22:16:53.935Z,my clothes
2025-12-29T22:17:12.447Z,sleeping 
2025-12-29T22:17:30.408Z,everything 
2025-12-29T22:17:34.526Z,Holiday 
2025-12-29T22:18:13.642Z,my cats 
2025-12-29T22:18:18.773Z,my childhood. times were simple nowadays not so much
2025-12-29T22:18:19.478Z,her
2025-12-29T22:18:39.127Z,The moments today
2025-12-29T22:18:47.817Z,Loona
2025-12-29T22:19:12.342Z,music
2025-12-29T22:19:34.087Z,What could be
2025-12-29T22:20:01.279Z,My cats I love them very much 
2025-12-29T22:20:06.346Z,holiday
2025-12-29T22:20:35.519Z,Weed
2025-12-29T22:20:53.263Z,Foodie
2025-12-29T22:21:32.244Z,2026
2025-12-29T22:22:12.726Z,Foodie
